winningmargin,homescore,awayscore,hometeam,awayteam,attendance
26,97,71,13,14,58002
25,101,76,3,5,72179
-17,85,102,12,6,40129
66,138,72,15,4,54495
-20,92,112,9,11,25572
11,80,69,10,2,25100
20,78,58,17,18,38297
-1,82,83,1,7,28186
-27,80,107,8,16,20932
-12,90,102,14,3,34961
30,107,77,11,15,36578
42,100,58,6,1,36843
-22,75,97,4,10,30631
-64,56,120,2,17,30267
-13,69,82,16,13,8280
15,74,59,18,8,14204
36,109,73,5,9,28813
-10,55,65,7,12,25284
11,71,60,14,11,24327
29,99,70,13,4,44503
4,96,92,1,2,39190
26,83,57,9,16,4014
-13,91,104,6,15,52974
108,156,48,10,18,19817
1,74,73,3,17,66317
33,117,84,12,5,31933
-55,47,102,8,7,38920
-32,36,68,2,13,23058
10,80,70,15,10,20505
11,86,75,11,18,22307
-13,74,87,6,8,25897
34,88,54,7,9,30201
38,99,61,5,14,43645
4,103,99,4,1,24906
-69,73,142,17,12,30926
30,92,62,16,3,14349
7,98,91,10,6,32312
-68,71,139,18,14,32162
-63,58,121,8,11,42888
26,87,61,12,16,18724
19,101,82,1,5,33031
67,120,53,13,9,20791
3,94,91,3,2,33433
-48,59,107,4,7,23935
12,92,80,17,15,48030
-17,60,77,9,12,11207
-1,62,63,14,1,10412
84,117,33,2,8,28587
35,97,62,7,3,42302
-60,61,121,18,15,8663
-52,80,132,16,10,14897
-22,54,76,5,13,70334
-41,68,109,17,11,14107
-11,82,93,4,6,84205
-109,56,165,8,5,39430
-3,66,69,15,7,20136
-59,54,113,1,9,31811
10,91,81,13,17,39425
50,114,64,3,18,40129
-1,42,43,12,2,6645
25,115,90,6,16,28916
32,103,71,14,4,33677
-24,89,113,11,10,30110
17,86,69,2,14,29290
78,102,24,7,18,37040
27,113,86,5,6,64481
-14,61,75,11,16,20420
-53,35,88,9,15,11661
27,108,81,4,17,33042
75,105,30,10,8,19331
38,93,55,13,12,35767
48,116,68,3,1,25376
-48,51,99,6,14,44029
-23,94,117,17,5,40663
-69,46,115,18,2,5114
10,90,80,12,15,32517
58,105,47,11,4,27464
-36,66,102,1,10,36579
36,69,33,16,7,6136
-30,75,105,9,3,8754
-74,38,112,8,13,27488
15,102,87,3,11,44769
19,106,87,14,16,6040
35,82,47,15,2,18721
-47,53,100,18,13,13422
-21,69,90,1,12,28783
32,80,48,5,4,70226
52,138,86,9,8,5057
5,117,112,17,10,12007
-36,44,80,7,6,35534
6,106,100,11,5,31387
42,97,55,15,1,19051
14,110,96,10,9,22068
-38,56,94,13,7,29812
-101,60,161,8,14,31838
67,121,54,16,17,7516
53,103,50,12,18,23464
4,79,75,6,3,80627
16,66,50,2,4,25877
-13,70,83,14,15,34370
31,88,57,1,8,22859
62,109,47,16,18,5523
-12,61,73,13,11,32753
-4,68,72,17,6,43939
14,99,85,7,10,47214
12,77,65,5,2,21757
